Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
10,0,1,0,0,-1.7263266980439569,46
0,10,0,2,0,-1.6979893594969944,100
1,9,1,1,0,-1.6824431700407656,111
2,7,1,1,0,no trade ,0
3,7,1,3,10,no trade ,0
4,7,1,3,2,-1.6300697851171146,148
5,6,1,1,0,-1.6738063981206384,100
6,5,1,1,0,-1.6738063981206384,16
7,5,1,2,0,-1.68071581565674,16
8,5,1,1,0,-1.7135355489532231,16
9,4,1,0,0,-1.7325364471775029,105
10,3,1,0,0,-1.749049955088786,388
0,10,1,1,0,-1.7757203067781386,100
1,9,1,1,0,no trade ,0
2,9,1,0,0,-1.7636288260899606,105
3,7,1,0,0,-1.7670835348580116,5
4,7,1,0,0,-1.7739929523941131,200
5,5,0,1,0,-1.8050853313065707,100
6,4,0,0,0,-1.777447661162164,200
7,2,1,0,0,-1.7878117874663166,19
8,2,1,1,0,-1.8068126856905964,100
9,1,1,2,0,-1.7929938506183927,110
10,0,1,1,0,-1.8033579769225456,61
0,10,1,2,0,-1.7929938506183927,236
1,7,1,0,0,-1.8085400400746217,5
2,7,1,3,2,-1.7594659020244592,120
3,6,1,3,10,no trade ,0
4,6,1,1,0,-1.7584467629378844,215
5,4,1,3,2,-1.7231223657845642,146
6,2,0,4,0,-1.7463552822497064,200
7,0,0,3,0,-1.7498099910177571,78
8,0,1,1,0,no trade ,0
9,0,1,3,0,no trade ,0
10,0,1,2,0,no trade ,0
0,10,0,3,0,-1.7619014717059351,100
1,9,1,3,10,no trade ,0
2,9,1,3,10,no trade ,0
3,9,1,3,2,-1.7565293995716162,126
4,7,1,1,0,-1.7878117874663166,110
5,6,1,1,0,-1.8033579769225456,110
6,5,1,2,0,-1.7809023699302147,31
7,5,1,2,0,no trade ,0
8,5,1,1,0,-1.8085400400746217,5
9,5,0,1,0,-1.8223588751468252,100
10,4,1,0,0,-1.7958612588958751,418
0,10,0,1,0,-1.7990240532020554,116
1,8,1,0,0,-1.824934145182882,115
2,7,0,1,0,-1.8352981819752128,11
3,7,1,1,0,-1.7817506585481713,5
4,7,0,2,0,-1.7817506585481713,111
5,6,0,1,0,-1.7627499244288982,100
6,5,1,1,0,-1.8059334110636094,10
