Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
4,7.803303303303303,0,2,3,5,5,no trade ,0
5,7.803303303303303,0,3,2,5,0,0.03825953879865048,377
6,7.237237237237237,0,3,0,4,5,no trade ,0
7,7.237237237237237,0,4,0,4,5,no trade ,0
8,7.237237237237237,5,3,1,5,5,no trade ,0
9,7.237237237237237,5,4,0,5,5,no trade ,0
10,7.237237237237237,5,1,0,4,0,0.0034781398907864076,681
11,6.214714714714715,0,1,0,4,5,no trade ,0
12,6.214714714714715,0,3,0,3,5,no trade ,0
13,6.214714714714715,5,3,0,5,5,no trade ,0
14,6.214714714714715,5,2,0,3,5,no trade ,0
15,6.214714714714715,5,0,0,3,5,0.02810337031755417,4139
0,0.0,5,1,0,4,0,-0.027822216039507547,581
1,14.142642642642643,0,0,0,5,3,-0.041455101898866246,2574
2,10.277777777777779,0,3,0,4,0,-0.027822216039507547,100
3,10.127627627627628,0,4,0,5,5,no trade ,0
4,10.127627627627628,0,2,0,4,5,no trade ,0
5,10.127627627627628,0,0,0,3,3,-0.02316199485289003,2176
6,6.86036036036036,0,0,0,5,5,no trade ,0
7,6.86036036036036,0,0,0,5,3,-0.07052931766015164,3050
8,2.280780780780781,0,0,0,8,0,-0.09042220212839953,1519
9,0.0,0,3,0,3,0,no trade ,0
10,0.0,5,1,0,6,5,no trade ,0
11,0.0,0,4,0,4,5,no trade ,0
12,0.0,0,2,0,5,5,no trade ,0
13,0.0,0,2,0,4,5,no trade ,0
14,0.0,0,3,0,5,5,no trade ,0
15,0.0,5,2,0,4,0,no trade ,0
0,0.0,0,0,0,4,5,no trade ,0
1,15.015015015015015,0,1,0,3,3,-0.05104666527574936,3426
2,9.87087087087087,0,0,0,4,3,-0.05542805480214201,1501
3,7.617117117117117,0,3,0,3,5,no trade ,0
4,7.617117117117117,0,3,0,4,0,-0.041727519298977674,301
5,7.165165165165165,0,5,0,6,5,no trade ,0
